100,0.0502,0.1043,0.0093,0.0046
20100,2173.5,17.0082,4.9145,1.2829
40100,7656.21,46.4149,14.7768,3.0835
60100,17966.6,126.772,59.4897,11.5242
80100,52608.7,102.586,64.8697,5.4937
100100,78097.5,134.859,97.7938,14.595
120100,112900,147.473,145.268,9.8577
140100,161668,168.4,155.632,11.064
160100,211070,224.949,289.052,14.57
180100,252808,264.754,287.822,21.7567
200100,302554,189.305,205.849,13.9415
220100,351634,219.734,299.348,18.3479
240100,430839,240.612,573.986,42.5004
260100,511207,426.571,583.37,28.093
280100,547841,503.541,676.024,40.528
300100,487673,220.709,375.788,30.7694
320100,416616,239.623,474.235,24.9378
340100,472707,251.451,549.156,38.7642
360100,484881,269.268,677.147,28.2474
380100,597905,281.331,676.5,39.9499
