100,-6.27744e+66,-6.27744e+66,34.4286
100100,-6.27744e+66,-6.27744e+66,49.1996
200100,-6.27744e+66,-6.27744e+66,61.0122
300100,-6.27744e+66,-6.27744e+66,65.2317
400100,-6.27744e+66,-6.27744e+66,67.0994
500100,-6.27744e+66,-6.27744e+66,67.1518
600100,-6.27744e+66,-6.27744e+66,78.3706
700100,-6.27744e+66,-6.27744e+66,78.076
800100,-6.27744e+66,-6.27744e+66,79.2629
900100,-6.27744e+66,-6.27744e+66,75.6846
1000100,-6.27744e+66,-6.27744e+66,80.496
1100100,-6.27744e+66,-6.27744e+66,79.34
1200100,-6.27744e+66,-6.27744e+66,81.4246
1300100,-6.27744e+66,-6.27744e+66,79.1256
1400100,-6.27744e+66,-6.27744e+66,83.6861
1500100,-6.27744e+66,-6.27744e+66,82.3401
1600100,-6.27744e+66,-6.27744e+66,82.1808
1700100,-6.27744e+66,-6.27744e+66,82.0005
1800100,-6.27744e+66,-6.27744e+66,83.4755
1900100,-6.27744e+66,-6.27744e+66,83.9173
